permiso         |accion    |predeterminado
campo           |editar    |false
campo           |ver       |false
campo           |administrar|false
configurar      |editar    |false
configurar      |ver       |false
encuestas       |ingresar  |false
encuestas       |procesar  |false
encuestas       |justificar|false
encuestas       |relevar   |false
consistencias   |editar    |false
casilleros_texto|editar    |false
lab_resultado   |editar    |false
lab_resultado   |ver       |false
lab_resultado   |avisar    |false
citas           |programar |false
