operativo|enc|enc_vieja|semana|nrocomuna|nrofraccion|nroradio|nromanzana|nrolado|codviviendaparticular|codcalle|nomcalle|sector|edificio|entrada|casa|obsdatosdomicilio|obsconjunto|usodomicilio|orden_relevamiento|mapa|carga_rol|carga_persona|usuarios__nombre|usuarios__apellido|carga|operacion|carga_observaciones|json_encuesta|dispositivo|estado|estados__tipo_estado|cod_enc|cod_recu|cod_sup|rea|norea|rea_p|norea_p|cant_p|sexo_sel|edad_sel|reserva|codpos|area|id_marco|nrocatastral|piso|departamento|habitacion|barrio|obs|result_sup|obs_sup|obs_coor|consistido
ESECO|10902|1020|0|14|4|9|15|4||645|XXXXXXXXXXXX|||||||1|1|2||||||||||||||||||||||0|1061|102|1392764|835|1|||Retiro|||||
ESECO|10904|1021|0|14|4|9|15|4||9921|YYYY YYYYYY||||||832 gge|1|2|2||||||||||||||||||||||0|1059|102|1392893|836|3|A||Retiro|||||
ESECO|13303|1022|0|14|4|9|8|4||9921|YYYY YYYYYY||||||sec 833|1|3|2||||||||||||||||||||||0|1059|102|1393002|837|2|||Retiro|||||
ESECO|13308|1023|0|14|4|9|15|2||9921|YYYY YYYYYY||||||sec a la izq|1|4|2||||||||||||||||||||||0|1059|102|1392805|838|7|A||Retiro|||||
ESECO|13309|1024|0|14|4|9|15|2||9921|YYYY YYYYYY|||||||1|5|2||||||||||||||||||||||0|1059|102|1393057|839|2|B||Retiro|||||
ESECO|10206|1025|0|14|4|9|8|4||9921|YYYY YYYYYY||||||Gge en 848 y 846|1|6|2||||||||||||||||||||||0|1059|102|1392895|840|2|||Retiro|||||
ESECO|10211|1026|0|14|4|9|15|4||645|XXXXXXXXXXXX||||||Sec 849.|1|7|2||||||||||||||||||||||1|1061|102|2330920|841|6|||Retiro|||||
ESECO|10212|1027|0|14|4|9|8|2||1950|VVVVVVV|||||||1|8|2||||||||||||||||||||||1|1059|102|2330884|842|0|||Retiro|||||
ESECO|10213|1028|0|14|4|9|8|1||3845|ZZZZZZZZ||||||Garage por ZZZZZZZ 820. Sec ZZZZZZZ 824.|1|9|2||||||||||||||||||||||1|1007|102|1392811|843|2|||Retiro|||||
ESECO|10214|1029|0|14|4|9|8|2||1950|VVVVVVV||||||Sec por ZZZZZZZZ 842, entrada de proveedores.|1|10|2||||||||||||||||||||||1|1059|102|1393087|844|9|A||Retiro|||||
ESECO|10215|1030|0|14|4|9|15|4||9921|YYYY YYYYYY||||||856 gge|1|11|2||||||||||||||||||||||1|1059|102|1392932|860|5|B||Retiro|||||
ESECO|10216|1031|0|14|4|9|15|2||1950|VVVVVVV|||||||1|12|2||||||||||||||||||||||1|1059|102|2330862|861|3|2||Retiro|||||
ESECO|10221|1032|0|14|4|9|15|4||9921|YYYY YYYYYY||||||Gge en 862 y 863|1|13|2||||||||||||||||||||||2|1059|102|1393082|862|6|||Retiro|||||
ESECO|10222|1033|0|14|4|9|8|1||3845|ZZZZZZZZ||||||Garage por ZZZZZZZZZ 921. Sec ZZZZZZZ 822.|1|14|2||||||||||||||||||||||2|1007|102|1392934|863|6|||Retiro|||||
ESECO|10223|1034|0|14|4|9|8|4||645|XXXXXXXXXXXX|||||||1|15|2||||||||||||||||||||||2|1061|102|2330926|864|PB|Port||Retiro|||||
ESECO|10224|0|0|14|4|9|15|4||9921|YYYY YYYYYY||||||926 gge|1|16|||||||||||||||||||||||2|1059|102|1392786|865|2|B||Retiro|||||
ESECO|10225|0|0|14|4|9|8|4||645|XXXXXXXXXXXX|||||||1|17|||||||||||||||||||||||2|1061|102|1392948|866|3|||Retiro|||||
ESECO|10226|0|0|14|4|7|8|1||3845|ZZZZZZZZ||||||Sec Sgto Cabral 815|1|18|||||||||||||||||||||||2|1007|102|1392993|1180|7|B||Retiro|||||
ESECO|20902|1020|0|14|4|9|15|4||645|XXXXXXXXXXXX|||||||1|1|2||||||||||||||||||||||0|1061|103|1392764|835|1|||Retiro|||||
ESECO|20904|1021|0|14|4|9|15|4||9921|YYYY YYYYYY||||||832 gge|1|2|2||||||||||||||||||||||0|1059|103|1392893|836|3|A||Retiro|||||
ESECO|23303|1022|0|14|4|9|8|4||9921|YYYY YYYYYY||||||sec 833|1|3|2||||||||||||||||||||||0|1059|103|1393002|837|2|||Retiro|||||
ESECO|23308|1023|0|14|4|9|15|2||9921|YYYY YYYYYY||||||sec a la izq|1|4|2||||||||||||||||||||||0|1059|103|1392805|838|7|A||Retiro|||||
ESECO|23309|1024|0|14|4|9|15|2||9921|YYYY YYYYYY|||||||1|5|2||||||||||||||||||||||0|1059|103|1393057|839|2|B||Retiro|||||
ESECO|20206|1025|0|14|4|9|8|4||9921|YYYY YYYYYY||||||Gge en 848 y 846|1|6|2||||||||||||||||||||||0|1059|103|1392895|840|2|||Retiro|||||
